fecha,td
2001-01-01,16.622326481659027
2001-02-01,17.43420624182221
2001-03-01,15.811933468430714
2001-04-01,14.51507752039006
2001-05-01,14.035832905217315
2001-06-01,15.312343206140794
2001-07-01,15.183814819180185
2001-08-01,14.913511091006335
2001-09-01,14.074145894901372
2001-10-01,14.524934134596732
2001-11-01,13.682217605975037
2001-12-01,13.608424834543777
2002-01-01,17.909856218083295
2002-02-01,16.18883167295959
2002-03-01,15.111403646422641
2002-04-01,16.077003414557595
2002-05-01,15.022084497805835
2002-06-01,15.911024661278688
2002-07-01,15.426122981760457
2002-08-01,15.952750840335387
2002-09-01,14.46548871450829
2002-10-01,14.972588991844201
2002-11-01,15.189322594155364
2002-12-01,15.422503660536979
2003-01-01,16.271519203210936
2003-02-01,15.83837413367715
2003-03-01,13.105699311140615
2003-04-01,15.005946521142869
2003-05-01,12.816057870033204
2003-06-01,14.10509312435817
2003-07-01,14.514325563095424
2003-08-01,14.378067800697803
2003-09-01,14.234766629217132
2003-10-01,13.522169959208757
2003-11-01,12.635211630274364
2003-12-01,12.558278405355342
2004-01-01,17.256432645324725
2004-02-01,15.753438545792985
2004-03-01,13.522674534509044
2004-04-01,14.68099405661674
2004-05-01,13.832959328299
2004-06-01,14.073592702438365
2004-07-01,12.90874880701794
2004-08-01,13.056943458531144
2004-09-01,12.285073200033224
2004-10-01,12.285638235167037
2004-11-01,11.836774945952012
2004-12-01,11.953942605918524
2005-01-01,13.262646301922926
2005-02-01,14.096902979451464
2005-03-01,12.954344315861915
2005-04-01,12.020492431730782
2005-05-01,12.490683577333161
2005-06-01,11.542675627571272
2005-07-01,12.048355685604447
2005-08-01,11.718827564184519
2005-09-01,11.333253055193566
2005-10-01,9.898499787027768
2005-11-01,10.281330827408848
2005-12-01,10.272246201875628
2006-01-01,13.36962875808833
2006-02-01,13.079196639846558
2006-03-01,11.367138289572786
2006-04-01,12.06426233551607
2006-05-01,11.868760052957542
2006-06-01,10.477284559212622
2006-07-01,12.2993
2006-08-01,13.043927969
2006-09-01,12.914994537
2006-10-01,11.355034134
2006-11-01,10.996331575
2006-12-01,11.84025816
2007-01-01,14.2792
2007-02-01,12.8562
2007-03-01,12.0333
2007-04-01,10.8079
2007-05-01,11.7017
2007-06-01,11.1987
2007-07-01,11.3541
2007-08-01,10.8618
2007-09-01,10.8709
2007-10-01,10.2119
2007-11-01,9.4884
2007-12-01,9.9234
2008-01-01,13.2975
2008-02-01,12.1946
2008-03-01,11.3381
2008-04-01,11.079
2008-05-01,10.8121
2008-06-01,11.4137
2008-07-01,12.2102
2008-08-01,11.4262
2008-09-01,11.0468
2008-10-01,10.1815
2008-11-01,10.9115
2008-12-01,10.7731
2009-01-01,14.4724
2009-02-01,12.7709
2009-03-01,12.1859
2009-04-01,12.1186
2009-05-01,11.7578
2009-06-01,11.597
2009-07-01,12.8426
2009-08-01,11.9361
2009-09-01,12.4403
2009-10-01,11.7565
2009-11-01,11.3871
2009-12-01,11.3122
2010-01-01,14.8787
2010-02-01,12.6947
2010-03-01,11.959
2010-04-01,12.4399
2010-05-01,12.2634
2010-06-01,11.9801
2010-07-01,12.8583
2010-08-01,11.3779
2010-09-01,10.8675
2010-10-01,10.4525
2010-11-01,10.9341
2010-12-01,11.2264
2011-01-01,13.8965
2011-02-01,13.1393
2011-03-01,10.9483
2011-04-01,11.2743
2011-05-01,11.5536
2011-06-01,11.036
2011-07-01,11.704
2011-08-01,10.4157
2011-09-01,9.9279
2011-10-01,9.3596
2011-11-01,9.4935
2011-12-01,10.0677
2012-01-01,12.7911
2012-02-01,12.075
2012-03-01,10.5024
2012-04-01,11.087
2012-05-01,10.995
2012-06-01,10.2437
2012-07-01,11.1558
2012-08-01,9.9893
2012-09-01,10.1444
2012-10-01,9.1692
2012-11-01,9.4619
2012-12-01,9.9404
2013-01-01,12.3415
2013-02-01,12.0105
2013-03-01,10.3838
2013-04-01,10.4518
2013-05-01,9.8204
2013-06-01,9.5105
2013-07-01,10.1626
2013-08-01,9.6613
2013-09-01,9.1692
2013-10-01,8.13
2013-11-01,8.6268
2013-12-01,8.6473
2014-01-01,11.5324
2014-02-01,11.0878
2014-03-01,9.8445
2014-04-01,9.3084
2014-05-01,9.0674
2014-06-01,9.4019
2014-07-01,9.6865
2014-08-01,9.16
2014-09-01,8.6057
2014-10-01,8.0953
2014-11-01,8.0622
2014-12-01,9.0375
2015-01-01,11.1517
2015-02-01,10.2276
2015-03-01,9.1228
2015-04-01,9.7373
2015-05-01,9.2216
2015-06-01,8.4987
2015-07-01,9.2237
2015-08-01,9.3036
2015-09-01,9.0682
2015-10-01,8.4385
2015-11-01,7.5631
2015-12-01,8.8227
2016-01-01,12.1784
2016-02-01,10.3678
2016-03-01,10.4646
2016-04-01,9.3195
2016-05-01,9.2374
2016-06-01,9.19
2016-07-01,10.2006
2016-08-01,9.2326
2016-09-01,8.8534
2016-10-01,8.628
2016-11-01,7.7732
2016-12-01,9.0971
2017-01-01,11.9569
2017-02-01,10.873
2017-03-01,9.9046
2017-04-01,9.1359
2017-05-01,9.838
2017-06-01,8.9773
2017-07-01,9.9404
2017-08-01,9.5168
2017-09-01,9.5469
2017-10-01,8.7399
2017-11-01,8.7648
2017-12-01,8.9122
2018-01-01,12.1374
2018-02-01,11.1882
2018-03-01,9.7716
2018-04-01,9.7292
2018-05-01,9.9795
2018-06-01,9.3085
2018-07-01,10.0423
2018-08-01,9.4292
2018-09-01,9.6707
2018-10-01,9.3615
2018-11-01,8.9905
2018-12-01,9.9891
2019-01-01,13.0752
2019-02-01,12.0926
2019-03-01,11.1814
2019-04-01,10.6566
2019-05-01,10.9519
2019-06-01,9.7229
2019-07-01,11.2807
2019-08-01,11.1973
2019-09-01,10.8003
2019-10-01,10.1236
2019-11-01,9.6186
2019-12-01,9.9497
2020-01-01,13.4585
2020-02-01,12.8131
2020-03-01,13.1828
2020-04-01,20.4853
2020-05-01,21.972
2020-06-01,20.3591
2020-07-01,20.9147
2020-08-01,17.4427
2020-09-01,16.2928
2020-10-01,15.2814
2020-11-01,13.9128
2020-12-01,13.9142
2021-01-01,17.5633
2021-02-01,15.5852
2021-03-01,14.7255
2021-04-01,15.488
2021-05-01,15.2042
2021-06-01,14.6466
2021-07-01,13.0585
2021-08-01,12.8614
2021-09-01,11.9613
2021-10-01,11.9952
2021-11-01,11.5331
2021-12-01,11.0965
2022-01-01,14.6473
2022-02-01,12.9052
2022-03-01,12.1212
2022-04-01,11.1685
2022-05-01,10.6483
2022-06-01,11.2612
2022-07-01,10.9889
2022-08-01,10.6313
2022-09-01,10.7484
2022-10-01,9.721
2022-11-01,9.5008
2022-12-01,10.2727
2023-01-01,13.7044
2023-02-01,11.3531
2023-03-01,10.0325
2023-04-01,10.7247
2023-05-01,10.4751
2023-06-01,9.342309621
2023-07-01,9.572850564101575
2023-08-01,9.277371999269596
2023-09-01,9.252674180332214
2023-10-01,9.23091238429411
2023-11-01,9.007386157221003
2023-12-01,10.013717396181603
2024-01-01,12.661635826705913
2024-02-01,11.666144792067652
2024-03-01,11.285719499435782
2024-04-01,10.646715730368971
2024-05-01,10.305870827614305
2024-06-01,10.268590171466832
2024-07-01,9.918144628511657
2024-08-01,9.66265784199371
2024-09-01,9.134476951775593
2024-10-01,9.133760150085875
2024-11-01,8.16876347936255
2024-12-01,9.12529538036365
2025-01-01,11.636036642818445
2025-02-01,10.33046346346282
2025-03-01,9.616368662963705
2025-04-01,8.782505938589031
2025-05-01,9.036415809329409
2025-06-01,8.55402008615587
2025-07-01,8.841811874192185
2025-08-01,8.598450916777695
2025-09-01,8.173482473735278
2025-10-01,8.203672875004472
2025-11-01,7.024857664548427
2025-12-01,7.977103625635938
2026-01-01,10.859452814202058
2026-02-01,9.234958425182727
2026-03-01,8.793386114757205
